1,Afghanistan,5,1,648,16,10,2,1
2,Albania,3,1,29,3,6,6,2
3,Algeria,4,1,2388,20,8,2,3
4,American-Samoa,6,3,0,0,1,1,4
5,Andorra,3,1,0,0,6,0,5
6,Angola,4,2,1247,7,10,5,6
7,Anguilla,1,4,0,0,1,1,7
8,Antigua-Barbuda,1,4,0,0,1,1,8
9,Argentina,2,3,2777,28,2,0,9
10,Argentine,2,3,2777,28,2,0,10
11,Australia,6,2,7690,15,1,1,11
12,Austria,3,1,84,8,4,0,12
13,Bahamas,1,4,19,0,1,1,13
14,Bahrain,5,1,1,0,8,2,14
15,Bangladesh,5,1,143,90,6,2,15
16,Barbados,1,4,0,0,1,1,16
17,Belgium,3,1,31,10,6,0,17
18,Belize,1,4,23,0,1,1,18
19,Benin,4,1,113,3,3,5,19
20,Bermuda,1,4,0,0,1,1,20
21,Bhutan,5,1,47,1,10,3,21
22,Bolivia,2,3,1099,6,2,0,22
23,Botswana,4,2,600,1,10,5,23
24,Brazil,2,3,8512,119,6,0,24
25,British-Virgin-Isles,1,4,0,0,1,1,25
26,Brunei,5,1,6,0,10,2,26
27,Bulgaria,3,1,111,9,5,6,27
28,Burkina,4,4,274,7,3,5,28
29,Burma,5,1,678,35,10,3,29
30,Burundi,4,2,28,4,10,5,30
31,Cameroon,4,1,474,8,3,1,31
32,Canada,1,4,9976,24,1,1,32
33,Cape-Verde-Islands,4,4,4,0,6,0,33
34,Cayman-Islands,1,4,0,0,1,1,34
35,Central-African-Republic,4,1,623,2,10,5,35
36,Chad,4,1,1284,4,3,5,36
37,Chile,2,3,757,11,2,0,37
38,China,5,1,9561,1008,7,6,38
39,Colombia,2,4,1139,28,2,0,39
40,Comorro-Islands,4,2,2,0,3,2,40
41,Congo,4,2,342,2,10,5,41
42,Cook-Islands,6,3,0,0,1,1,42
43,Costa-Rica,1,4,51,2,2,0,43
44,Cuba,1,4,115,10,2,6,44
45,Cyprus,3,1,9,1,6,1,45
46,Czechoslovakia,3,1,128,15,5,6,46
47,Denmark,3,1,43,5,6,1,47
48,Djibouti,4,1,22,0,3,2,48
49,Dominica,1,4,0,0,1,1,49
50,Dominican-Republic,1,4,49,6,2,0,50
51,Ecuador,2,3,284,8,2,0,51
52,Egypt,4,1,1001,47,8,2,52
53,El-Salvador,1,4,21,5,2,0,53
54,Equatorial-Guinea,4,1,28,0,10,5,54
55,Ethiopia,4,1,1222,31,10,1,55
56,Faeroes,3,4,1,0,6,1,56
57,Falklands-Malvinas,2,3,12,0,1,1,57
58,Fiji,6,2,18,1,1,1,58
59,Finland,3,1,337,5,9,1,59
60,France,3,1,547,54,3,0,60
61,French-Guiana,2,4,91,0,3,0,61
62,French-Polynesia,6,3,4,0,3,0,62
63,Gabon,4,2,268,1,10,5,63
64,Gambia,4,4,10,1,1,5,64
65,Germany-DDR,3,1,108,17,4,6,65
66,Germany-FRG,3,1,249,61,4,1,66
67,Ghana,4,4,239,14,1,5,67
68,Gibraltar,3,4,0,0,1,1,68
69,Greece,3,1,132,10,6,1,69
70,Greenland,1,4,2176,0,6,1,70
71,Grenada,1,4,0,0,1,1,71
72,Guam,6,1,0,0,1,1,72
73,Guatemala,1,4,109,8,2,0,73
74,Guinea,4,4,246,6,3,2,74
75,Guinea-Bissau,4,4,36,1,6,5,75
76,Guyana,2,4,215,1,1,4,76
77,Haiti,1,4,28,6,3,0,77
78,Honduras,1,4,112,4,2,0,78
79,Hong-Kong,5,1,1,5,7,3,79
80,Hungary,3,1,93,11,9,6,80
81,Iceland,3,4,103,0,6,1,81
82,India,5,1,3268,684,6,4,82
83,Indonesia,6,2,1904,157,10,2,83
84,Iran,5,1,1648,39,6,2,84
85,Iraq,5,1,435,14,8,2,85
86,Ireland,3,4,70,3,1,0,86
87,Israel,5,1,21,4,10,7,87
88,Italy,3,1,301,57,6,0,88
89,Ivory-Coast,4,4,323,7,3,5,89
90,Jamaica,1,4,11,2,1,1,90
91,Japan,5,1,372,118,9,7,91
92,Jordan,5,1,98,2,8,2,92
93,Kampuchea,5,1,181,6,10,3,93
94,Kenya,4,1,583,17,10,5,94
95,Kiribati,6,1,0,0,1,1,95
96,Kuwait,5,1,18,2,8,2,96
97,Laos,5,1,236,3,10,6,97
98,Lebanon,5,1,10,3,8,2,98
99,Lesotho,4,2,30,1,10,5,99
100,Liberia,4,4,111,1,10,5,100
101,Libya,4,1,1760,3,8,2,101
102,Liechtenstein,3,1,0,0,4,0,102
103,Luxembourg,3,1,3,0,4,0,103
104,Malagasy,4,2,587,9,10,1,104
105,Malawi,4,2,118,6,10,5,105
106,Malaysia,5,1,333,13,10,2,106
107,Maldive-Islands,5,1,0,0,10,2,107
108,Mali,4,4,1240,7,3,2,108
109,Malta,3,1,0,0,10,0,109
110,Marianas,6,1,0,0,10,1,110
111,Mauritania,4,4,1031,2,8,2,111
112,Mauritius,4,2,2,1,1,4,112
113,Mexico,1,4,1973,77,2,0,113
114,Micronesia,6,1,1,0,10,1,114
115,Monaco,3,1,0,0,3,0,115
116,Mongolia,5,1,1566,2,10,6,116
117,Montserrat,1,4,0,0,1,1,117
118,Morocco,4,4,447,20,8,2,118
119,Mozambique,4,2,783,12,10,5,119
120,Nauru,6,2,0,0,10,1,120
121,Nepal,5,1,140,16,10,4,121
122,Netherlands,3,1,41,14,6,1,122
123,Netherlands-Antilles,1,4,0,0,6,1,123
124,New-Zealand,6,2,268,2,1,1,124
125,Nicaragua,1,4,128,3,2,0,125
126,Niger,4,1,1267,5,3,2,126
127,Nigeria,4,1,925,56,10,2,127
128,Niue,6,3,0,0,1,1,128
129,North-Korea,5,1,121,18,10,6,129
130,North-Yemen,5,1,195,9,8,2,130
131,Norway,3,1,324,4,6,1,131
132,Oman,5,1,212,1,8,2,132
133,Pakistan,5,1,804,84,6,2,133
134,Panama,2,4,76,2,2,0,134
135,Papua-New-Guinea,6,2,463,3,1,5,135
136,Parguay,2,3,407,3,2,0,136
137,Peru,2,3,1285,14,2,0,137
138,Philippines,6,1,300,48,10,0,138
139,Poland,3,1,313,36,5,6,139
140,Portugal,3,4,92,10,6,0,140
141,Puerto-Rico,1,4,9,3,2,0,141
142,Qatar,5,1,11,0,8,2,142
143,Romania,3,1,237,22,6,6,143
144,Rwanda,4,2,26,5,10,5,144
145,San-Marino,3,1,0,0,6,0,145
146,Sao-Tome,4,1,0,0,6,0,146
147,Saudi-Arabia,5,1,2150,9,8,2,147
148,Senegal,4,4,196,6,3,2,148
149,Seychelles,4,2,0,0,1,1,149
150,Sierra-Leone,4,4,72,3,1,5,150
151,Singapore,5,1,1,3,7,3,151
152,Soloman-Islands,6,2,30,0,1,1,152
153,Somalia,4,1,637,5,10,2,153
154,South-Africa,4,2,1221,29,6,1,154
155,South-Korea,5,1,99,39,10,7,155
156,South-Yemen,5,1,288,2,8,2,156
157,Spain,3,4,505,38,2,0,157
158,Sri-Lanka,5,1,66,15,10,3,158
159,St-Helena,4,3,0,0,1,1,159
160,St-Kitts-Nevis,1,4,0,0,1,1,160
161,St-Lucia,1,4,0,0,1,1,161
162,St-Vincent,1,4,0,0,1,1,162
163,Sudan,4,1,2506,20,8,2,163
164,Surinam,2,4,63,0,6,1,164
165,Swaziland,4,2,17,1,10,1,165
166,Sweden,3,1,450,8,6,1,166
167,Switzerland,3,1,41,6,4,1,167
168,Syria,5,1,185,10,8,2,168
169,Taiwan,5,1,36,18,7,3,169
170,Tanzania,4,2,945,18,10,5,170
171,Thailand,5,1,514,49,10,3,171
172,Togo,4,1,57,2,3,7,172
173,Tonga,6,2,1,0,10,1,173
174,Trinidad-Tobago,2,4,5,1,1,1,174
175,Tunisia,4,1,164,7,8,2,175
176,Turkey,5,1,781,45,9,2,176
177,Turks-Cocos-Islands,1,4,0,0,1,1,177
178,Tuvalu,6,2,0,0,1,1,178
179,UAE,5,1,84,1,8,2,179
180,Uganda,4,1,236,13,10,5,180
181,UK,3,4,245,56,1,1,181
182,Uruguay,2,3,178,3,2,0,182
183,US-Virgin-Isles,1,4,0,0,1,1,183
184,USA,1,4,9363,231,1,1,184
185,USSR,5,1,22402,274,5,6,185
186,Vanuatu,6,2,15,0,6,1,186
187,Vatican-City,3,1,0,0,6,0,187
188,Venezuela,2,4,912,15,2,0,188
189,Vietnam,5,1,333,60,10,6,189
190,Western-Samoa,6,3,3,0,1,1,190
191,Yugoslavia,3,1,256,22,6,6,191
192,Zaire,4,2,905,28,10,5,192
193,Zambia,4,2,753,6,10,5,193
194,Zimbabwe,4,2,391,8,10,5,194